"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"236",5,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4
"237",5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"238",5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"239",5,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4
"240",5,5,5,5,5,5,5,4,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"241",5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"242",5,5,5,5,5,5,5,5,2,5,4,3,5,5,5,5,5,5,5,5,5,5,3
"243",5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"244",4,5,5,5,4,3,4,5,5,4,4,4,5,4,4,5,5,4,5,4,4,5,3
"245",4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"246",4,4,4,4,4,3,4,4,5,4,4,2,4,4,4,4,4,4,3,4,4,4,4
"247",4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4
"248",4,5,4,4,5,5,3,3,4,3,3,2,3,3,3,3,4,4,4,3,3,4,4
"249",5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"250",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"251",5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"252",5,5,5,5,4,5,4,3,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5
"253",5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5,5
"254",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"255",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"256",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"257",5,5,5,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5
"258",5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"259",5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"260",5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
"261",5,5,5,5,5,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4
"262",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"263",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
"264",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"265",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"266",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"267",5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"268",5,5,5,5,5,4,5,5,4,4,4,4,5,4,3,4,4,5,5,5,5,5,5
"269",5,5,5,5,4,5,4,3,4,5,4,4,5,4,4,4,4,5,5,5,5,5,5
